Year	Male	Female
1983	59.71	15.41
1984	57.08	18.46
1985	51.89	16.85
1986	51.55	17.63
1987	50.95	19.23
1988	52.64	20.61
1989	52.15	21.15
1990	48.04	20.39
1991	44.98	20.13
1992	46.54	20.78
1993	45.22	21.28
1994	46.84	22.10
1995	42.07	20.46
1996	40.37	21.89
1997	36.84	21.95
1998	38.26	19.34
1999	37.30	20.75
2000	36.51	22.94
2001	32.10	21.60
2002	32.73	21.61
2003	35.90	25.73
2004	37.03	23.99
2005	31.72	22.10
2006	30.63	23.00
2007	31.48	22.72
2008	29.62	24.53
2009	31.65	24.10
2010	29.33	23.03
2011	28.73	24.87
2012	28.37	24.27
